Gary	Ackerman	N00001143	{"opensecrets_contributors"=>"[{\"org_name\":\"NorPAC\",\"total\":\"23500\"},{\"org_name\":\"Roger Tilles, Attorney\",\"total\":\"9898\"},{\"org_name\":\"Bank of America\",\"total\":\"7500\"},{\"org_name\":\"Center for Middle East Peace/Econ Coop\",\"total\":\"7200\"},{\"org_name\":\"American Assn for Justice\",\"total\":\"7000\"},{\"org_name\":\"Direct Selling Assn\",\"total\":\"6000\"},{\"org_name\":\"American Crystal Sugar\",\"total\":\"5000\"},{\"org_name\":\"Francesca Schwartz, Phd\",\"total\":\"5000\"},{\"org_name\":\"Holiday Organization\",\"total\":\"5000\"},{\"org_name\":\"Intl Brotherhood of Electrical Workers\",\"total\":\"5000\"}]"}
Robert	Aderholt	N00003028	{"opensecrets_contributors"=>"[{\"org_name\":\"Bollinger Shipyards\",\"total\":\"27000\"},{\"org_name\":\"Parker Towing\",\"total\":\"24000\"},{\"org_name\":\"Southern Co\",\"total\":\"13696\"},{\"org_name\":\"McWane Inc\",\"total\":\"13500\"},{\"org_name\":\"Dynetics Inc\",\"total\":\"13000\"},{\"org_name\":\"Northrop Grumman\",\"total\":\"13000\"},{\"org_name\":\"Balch & Bingham\",\"total\":\"11500\"},{\"org_name\":\"Maynard, Cooper & Gale\",\"total\":\"11250\"},{\"org_name\":\"Teledyne Technologies\",\"total\":\"11000\"},{\"org_name\":\"American Bankers Assn\",\"total\":\"10000\"}]"}
Daniel	Akaka	N00007653	{"opensecrets_contributors"=>"[{\"org_name\":\"Alexander & Baldwin\",\"total\":\"9000\"},{\"org_name\":\"Painters & Allied Trades Union\",\"total\":\"5000\"},{\"org_name\":\"Plumbers/Pipefitters Union\",\"total\":\"5000\"},{\"org_name\":\"Seafarers International Union\",\"total\":\"5000\"},{\"org_name\":\"American Dental Assn\",\"total\":\"4500\"},{\"org_name\":\"Carlsmith Ball LLP\",\"total\":\"4000\"},{\"org_name\":\"Carpenters & Joiners Union\",\"total\":\"4000\"},{\"org_name\":\"Ironworkers Union\",\"total\":\"4000\"},{\"org_name\":\"Miyabi Japanese Steak House\",\"total\":\"4000\"},{\"org_name\":\"Jtsi Inc\",\"total\":\"3000\"}]"}
Robert	Andrews	N00000826	{"opensecrets_contributors"=>"[{\"org_name\":\"Blue Cross/Blue Shield\",\"total\":\"12491\"},{\"org_name\":\"NorPAC\",\"total\":\"11250\"},{\"org_name\":\"Apollo Group\",\"total\":\"10701\"},{\"org_name\":\"L-3 Communications\",\"total\":\"10500\"},{\"org_name\":\"Lockheed Martin\",\"total\":\"10200\"},{\"org_name\":\"American Assn for Justice\",\"total\":\"10000\"},{\"org_name\":\"American Dental Assn\",\"total\":\"10000\"},{\"org_name\":\"American Federation of Teachers\",\"total\":\"10000\"},{\"org_name\":\"American Postal Workers Union\",\"total\":\"10000\"},{\"org_name\":\"Communications Workers of America\",\"total\":\"10000\"}]"}
W. Todd	Akin	N00009677	{"opensecrets_contributors"=>"[{\"org_name\":\"Emerson\",\"total\":\"41700\"},{\"org_name\":\"Crawford Group\",\"total\":\"32750\"},{\"org_name\":\"Jones Financial Companies\",\"total\":\"23000\"},{\"org_name\":\"American Pulverizer Co\",\"total\":\"20000\"},{\"org_name\":\"Murray Energy\",\"total\":\"18605\"},{\"org_name\":\"Essex Industries\",\"total\":\"18000\"},{\"org_name\":\"General Dynamics\",\"total\":\"18000\"},{\"org_name\":\"Washington University In St Louis\",\"total\":\"17500\"},{\"org_name\":\"Boeing Co\",\"total\":\"15900\"},{\"org_name\":\"Patriot Machine\",\"total\":\"15000\"}]"}
Lamar	Alexander	N00009888	{"opensecrets_contributors"=>"[{\"org_name\":\"Hercules Holding\",\"total\":\"36250\"},{\"org_name\":\"Baker, Donelson et al\",\"total\":\"34150\"},{\"org_name\":\"Psychiatric Solutions\",\"total\":\"29411\"},{\"org_name\":\"Waller, Lansden et al\",\"total\":\"27600\"},{\"org_name\":\"Regions Financial\",\"total\":\"26800\"},{\"org_name\":\"Southeast Financial Group\",\"total\":\"25122\"},{\"org_name\":\"Pilot Corp\",\"total\":\"24400\"},{\"org_name\":\"UBS AG\",\"total\":\"23700\"},{\"org_name\":\"Eastman Chemical\",\"total\":\"23000\"},{\"org_name\":\"Corrections Corp of America\",\"total\":\"22700\"}]"}
Rodney	Alexander	N00025464	{"opensecrets_contributors"=>"[{\"org_name\":\"Geocent LLC\",\"total\":\"17000\"},{\"org_name\":\"Adams & Reese\",\"total\":\"16000\"},{\"org_name\":\"Northrop Grumman\",\"total\":\"13500\"},{\"org_name\":\"Livingston Group\",\"total\":\"12500\"},{\"org_name\":\"Central Management\",\"total\":\"12000\"},{\"org_name\":\"O'Neal Gas\",\"total\":\"11500\"},{\"org_name\":\"Kadav Inc\",\"total\":\"11000\"},{\"org_name\":\"American Bankers Assn\",\"total\":\"10000\"},{\"org_name\":\"American Crystal Sugar\",\"total\":\"10000\"},{\"org_name\":\"Every Republican is Crucial PAC\",\"total\":\"10000\"}]"}
Jason	Altmire	N00027664	{"opensecrets_contributors"=>"[{\"org_name\":\"Blue Cross/Blue Shield\",\"total\":\"27250\"},{\"org_name\":\"EQT Corp\",\"total\":\"24639\"},{\"org_name\":\"New Democrat Coalition\",\"total\":\"22001\"},{\"org_name\":\"Jennmar Corp\",\"total\":\"20000\"},{\"org_name\":\"Mepco LLC\",\"total\":\"17000\"},{\"org_name\":\"American College of Radiology\",\"total\":\"15000\"},{\"org_name\":\"Blue Dog PAC\",\"total\":\"15000\"},{\"org_name\":\"University of Pittsburgh Medical Center\",\"total\":\"14300\"},{\"org_name\":\"McKesson Corp\",\"total\":\"14000\"},{\"org_name\":\"Comcast Corp\",\"total\":\"13500\"}]"}
Steven	Austria	N00029412	{"opensecrets_contributors"=>"[{\"org_name\":\"Sugar Creek Packing\",\"total\":\"22500\"},{\"org_name\":\"Trimble Navigation\",\"total\":\"14250\"},{\"org_name\":\"Greentree Group\",\"total\":\"11000\"},{\"org_name\":\"Graham & Graham\",\"total\":\"10000\"},{\"org_name\":\"SAIC Inc\",\"total\":\"9660\"},{\"org_name\":\"Ohio Willow Wood\",\"total\":\"8500\"},{\"org_name\":\"Limited Brands\",\"total\":\"8000\"},{\"org_name\":\"Peerless Technologies\",\"total\":\"7300\"},{\"org_name\":\"Serco Group\",\"total\":\"6000\"},{\"org_name\":\"American Electric Power\",\"total\":\"5500\"}]"}
Justin	Amash	N00031938	{"opensecrets_contributors"=>"[{\"org_name\":\"Michigan Industrial Tools\",\"total\":\"29500\"},{\"org_name\":\"Amway/Alticor Inc\",\"total\":\"28500\"},{\"org_name\":\"S Abraham & Sons\",\"total\":\"20250\"},{\"org_name\":\"Windquest Group\",\"total\":\"15200\"},{\"org_name\":\"Autocam Corp\",\"total\":\"10000\"},{\"org_name\":\"Bank of America\",\"total\":\"10000\"},{\"org_name\":\"Betz Industries\",\"total\":\"10000\"},{\"org_name\":\"Davis-Lynch Inc\",\"total\":\"10000\"},{\"org_name\":\"Koch Industries\",\"total\":\"10000\"},{\"org_name\":\"Superior Foods Co\",\"total\":\"10000\"}]"}
